Sample,Phylum,Class,Order,Family,Genus,Species,Percent
9_70m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,0.087374399
9_70m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_unclassified,Prymnesiophyceae_unclassified,Prymnesiophyceae_unclassified,1.747487986
9_70m,Opisthokonta,Metazoa,Arthropoda,Arthropoda_unclassified,Arthropoda_unclassified,Arthropoda_unclassified,0.174748799
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Crustacea_unclassified,Crustacea_unclassified,0.174748799
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Calocalanus,0.0436872
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Clausocalanus,0.480559196
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Corycaeus,0.0436872
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_unclassified,1.31061599
9_70m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Metridia,0.0436872
9_70m,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydrozoa_unclassified,0.0436872
9_70m,Opisthokonta,Metazoa,Craniata,Craniata_X,Teleostei,Teleostei_unclassified,0.0436872
9_70m,Opisthokonta,Metazoa,Metazoa_unclassified,Metazoa_unclassified,Metazoa_unclassified,Metazoa_unclassified,1.878549585
9_70m,Opisthokonta,Metazoa,Mollusca,Gastropoda,Heterobranchia,Heterobranchia_unclassified,0.0436872
9_70m,Opisthokonta,Fungi,Opisthokonta_unclassified,Opisthokonta_unclassified,Opisthokonta_unclassified,Opisthokonta_unclassified,1.441677588
9_70m,Opisthokonta,Fungi,Opisthokonta_XX,Opisthokonta_XXX,Opisthokonta_XXXX,Opisthokonta_XXXXX,0.131061599
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_4,Acantharea_4_unclassified,Acantharea_4_unclassified,0.087374399
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_A,Acantharea_A_X,Acanthoplegma,0.174748799
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_B,Acantharea_B1,Acanthochiasma,0.0436872
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_C,Acantharea_C_unclassified,Acantharea_C_unclassified,0.174748799
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F_unclassified,Acantharea_F_unclassified,0.0436872
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F3,Acantharea_F3_unclassified,0.131061599
9_70m,Rhizaria,Rhizaria,Acantharea,Acantharea_unclassified,Acantharea_unclassified,Acantharea_unclassified,0.436871997
9_70m,Rhizaria,Rhizaria,Polycystinea,Nassellaria,Nassellaria_unclassified,Nassellaria_unclassified,0.131061599
9_70m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Pyloniidae,Pyloniidae_unclassified,0.087374399
9_70m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Rhizosphaeridae,Rhizosphaera,0.0436872
9_70m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Spumellaria_unclassified,Spumellaria_unclassified,0.611620795
9_70m,Rhizaria,Rhizaria,RAD-A,RAD-A_X,RAD-A_X_unclassified,RAD-A_X_unclassified,0.087374399
9_70m,Rhizaria,Rhizaria,RAD-A,RAD-A_X,RAD-A_Xa,RAD-A_Xa_X,0.218435998
9_70m,Rhizaria,Rhizaria,RAD-A,RAD-A_X,RAD-A_Xg,RAD-A_Xg_X,0.087374399
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ib,RAD-B_X_Group-Ib_X,0.0436872
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ic,RAD-B_X_Group-Ic_X,0.0436872
