"","sample_names[1]","Phylum","Class","Order","Family","Genus","Species","SUM"
"49","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Excavata","Discoba","Discoba_unclassified","Discoba_unclassified","Discoba_unclassified","Discoba_unclassified",1
"50","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Hemiselmis",1
"51","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Hacrobia_unclassified","Hacrobia_unclassified","Hacrobia_unclassified","Hacrobia_unclassified","Hacrobia_unclassified",1
"52","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Haptophyta_unclassified","Haptophyta_unclassified","Haptophyta_unclassified","Haptophyta_unclassified",6
"53","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Haptophyta_X","Haptophyta_XX","Haptophyta_XXX","Haptophyta_XXXX",1
"54","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa",18
"55","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis",9
"56","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina",32
"57","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiaceae","Prymnesiaceae_unclassified",6
"58","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiaceae","Prymnesium",15
"59","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales_unclassified","Prymnesiales_unclassified",9
"60","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiophyceae_Clade_D","Prymnesiophyceae_Clade_D_X","Prymnesiophyceae_Clade_D_XX",1
"61","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiophyceae_unclassified","Prymnesiophyceae_unclassified","Prymnesiophyceae_unclassified",53
"62","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Picozoa","Picozoa_X","Picozoa_XX","Picozoa_XXX","Picomonas",2
"63","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Picozoa","Picozoa_X","Picozoa_XX","Picozoa_XXX","Picozoa_XXX_unclassified",3
"64","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Picozoa","Picozoa_X","Picozoa_XX","Picozoa_XXX","Picozoa_XXXX",1
"65","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia_XX_unclassified","Telonemia_XX_unclassified",2
"66","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia-Group-2","Telonemia-Group-2_unclassified",8
"67","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia-Group-2","Telonemia-Group-2_X",1
"68","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Choanoflagellida","Choanoflagellatea","Acanthoecida","Stephanoecidae_Group_D","Stephanoecidae_Group_D_X",1
"69","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Choanoflagellida","Choanoflagellatea","Acanthoecida","Stephanoecidae_Group_E","Stephanoecidae_Group_E_X",12
"70","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Choanoflagellida","Choanoflagellatea","Craspedida","Craspedida_unclassified","Craspedida_unclassified",1
"71","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Choanoflagellida","Choanoflagellatea","Craspedida","Monosigidae_Group_B","Monosigidae_Group_B_X",1
"72","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Arthropoda","Arthropoda_unclassified","Arthropoda_unclassified","Arthropoda_unclassified",2
"73","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Calocalanus",1
"74","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Maxillopoda_unclassified",3
"75","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Craniata","Craniata_X","Craniata_X_unclassified","Craniata_X_unclassified",1
"76","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Craniata","Craniata_X","Teleostei","Teleostei_unclassified",1
"77","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Metazoa","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified",1
"78","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Opisthokonta","Opisthokonta_unclassified","Opisthokonta_unclassified","Opisthokonta_unclassified","Opisthokonta_unclassified","Opisthokonta_unclassified",33
"79","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_3","Acantharea_3a","Acantharea_3a_X",1
"80","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_4","Acantharea_4_unclassified","Acantharea_4_unclassified",3
"81","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_A","Acantharea_A_X","Acanthoplegma",3
"82","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_C","Acantharea_C_unclassified","Acantharea_C_unclassified",1
"83","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_F","Acantharea_F3","Acantharea_F3_unclassified",1
"84","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Acantharea","Acantharea_unclassified","Acantharea_unclassified","Acantharea_unclassified",2
"85","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Lophophaenidae","Lophophaenidae_unclassified",1
"86","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Polycystinea","Spumellaria","Rhizosphaeridae","Rhizosphaera",2
"87","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Polycystinea","Spumellaria","Spumellaria_unclassified","Spumellaria_unclassified",2
"88","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-A","RAD-A_X","RAD-A_X_unclassified","RAD-A_X_unclassified",1
"89","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-A","RAD-A_X","RAD-A_Xa","RAD-A_Xa_X",1
"90","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-A","RAD-A_X","RAD-A_Xg","RAD-A_Xg_X",1
