"","x"
"79","M00436_250_000000000-B2LGJ_1_1114_20680_9449	Eukaryota(100);Stramenopiles(93);Opalozoa(89);MAST-3(89);MAST-3E(89);MAST-3E_X(89);MAST-3E_XX(89);MAST-3E_XX_sp.(89);"
"80","M00436_250_000000000-B2LGJ_1_1113_14620_17071	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"81","M00436_250_000000000-B2LGJ_1_2101_21207_22034	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"82","M00436_250_000000000-B2LGJ_1_1114_20131_11458	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"83","M00436_250_000000000-B2LGJ_1_1111_6923_11747	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"84","M00436_250_000000000-B2LGJ_1_2114_21619_5728	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"85","M00436_250_000000000-B2LGJ_1_1111_15095_23649	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"86","M00436_250_000000000-B2LGJ_1_2114_6827_7558	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"87","M00436_250_000000000-B2LGJ_1_1101_18550_9685	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"88","M00436_250_000000000-B2LGJ_1_1109_16833_25734	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"89","M00436_250_000000000-B2LGJ_1_2112_5717_11250	Eukaryota(100);Alveolata(93);Ciliophora(92);Spirotrichea(91);Spirotrichea_unclassified(91);Spirotrichea_unclassified(91);Spirotrichea_unclassified(91);Spirotrichea_unclassified(91);"
"90","M00436_250_000000000-B2LGJ_1_1111_22156_24669	Eukaryota(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);"
"91","M00436_250_000000000-B2LGJ_1_1114_18683_14415	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"92","M00436_250_000000000-B2LGJ_1_1101_11326_11335	Eukaryota(99);Excavata(85);Discoba(85);Kinetoplastea(84);Kinetoplastea_unclassified(84);Kinetoplastea_unclassified(84);Kinetoplastea_unclassified(84);Kinetoplastea_unclassified(84);"
"93","M00436_250_000000000-B2LGJ_1_1112_9477_10656	Eukaryota(100);Alveolata(89);Alveolata_unclassified(89);Alveolata_unclassified(89);Alveolata_unclassified(89);Alveolata_unclassified(89);Alveolata_unclassified(89);Alveolata_unclassified(89);"
"94","M00436_250_000000000-B2LGJ_1_2113_14294_15748	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"95","M00436_250_000000000-B2LGJ_1_1101_10832_15194	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
