"","x"
"57","M00436_250_000000000-B2LGJ_1_1111_25931_14366	Eukaryota(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);"
"58","M00436_250_000000000-B2LGJ_1_2113_22562_7386	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);"
"59","M00436_250_000000000-B2LGJ_1_1108_20669_14704	Eukaryota(100);Archaeplastida(98);Chlorophyta(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);"
"60","M00436_250_000000000-B2LGJ_1_1112_15552_12572	Eukaryota(100);Alveolata(97);Dinoflagellata(95);Dinophyceae(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);"
"61","M00436_250_000000000-B2LGJ_1_2111_18236_9913	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"62","M00436_250_000000000-B2LGJ_1_1110_11471_16198	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"63","M00436_250_000000000-B2LGJ_1_1113_13381_14332	Eukaryota(100);Alveolata(92);Ciliophora(92);Spirotrichea(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);"
"64","M00436_250_000000000-B2LGJ_1_1106_11867_14915	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"65","M00436_250_000000000-B2LGJ_1_1113_4500_8080	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"66","M00436_250_000000000-B2LGJ_1_1111_4897_14965	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"67","M00436_250_000000000-B2LGJ_1_1102_15703_16327	Eukaryota(100);Stramenopiles(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);"
"68","M00436_250_000000000-B2LGJ_1_1101_23754_18372	Eukaryota(100);Archaeplastida(92);Chlorophyta(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);"
"69","M00436_250_000000000-B2LGJ_1_2101_11711_12604	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);"
"70","M00436_250_000000000-B2LGJ_1_2114_4139_11979	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
